Cards,Status,Type,Subtype,R,Mana cost,p/t,Title,Std Ability,Ability,Passive,Active,Flavour Text,Card,Comment,Image,image_file_path,Prompt
Scary Code Debt,Ready to print,Enchantment,Aura,c,{B},,,,"Enchant artifact or creature.
As long as enchanted permanent is a creature it gets -1/-1 and can't block.
Enchanted permanent has ""At the beginning of your upkeep, you lose 1 life.""",,,"""Nobody knows what it does, but everyone’s afraid to delete it.""",,,,assets/enchantments/scarycodedebt.png,
Scope Creep,Created,Enchantment,,,{2}{UB}{UB},,,,Creatures don't untap during their controller's untap steps unless their controller pays {1} for each creature they untap.,,,,,,,assets/enchantments/scope-creep.png,
"Tech Medarbeidersamtale
",Ready to create,Enchantment,Saga,u,{4}{G}{G},,,,"I — Until the end of your turn, you may cast a Tech creature card from your hand without paying its mana cost.

II — Until the end of your turn, you may cast a card named Terje, Teleporting Giant from your library, graveyard, or exile.

III — Tech creatures you control get +2/+1 and gain trample until end of turn.",,,,,,,assets/enchantments/techdevelopmenttalk.png,
This Is Fine,Ready to print,Enchantment,,,{1}{R},,,,Creatures you control get +1/+0 and menace when attacking.,,,,,,,assets/enchantments/thisisfine.png,
Work In Progress,Ready to print,Enchantment,Aura,,{W},,,,"Enchant creature
Enchanted creature can't block or attack 
{2){W}: exile enchanted creature",,,,,,,assets/creatures/wip.png,
Bingo Night,Created,Legendary Enchantment,,m,{1},,,,"{up50}Whenever one or more of the following occurs for the first time after ~ enters the battlefield, put a bingo counter on ~:
• {indent}A card is put into a player’s hand outside draw step.{/indent}
• {indent}A spell or ability destroys a permanent.{/indent}
• {indent}A spell with mana value 6 or greater is cast.{/indent}
• {indent}A card is put into exile.{/indent}
When ~ has four or more bingo counters on it, draw seven cards, then exile ~",,,Everyone rushed out their bingo sheets as Harisan joined table.,,,,assets/enchantments/bingonight.png,
Inspiration Burst,Needs Review,Enchantment,,r,{1}{U}{U},,,,"Whenever you cast an instant or sorcery spell, create a 1/1 colorless Card Knight artifact creature token.",,,,,,,assets/enchantments/suddeninsipiration.png,
Burning the Midnight Oil,Needs Review,Enchantment,,r,{1}{B},,,,"At the beginning of your upkeep, you lose 1 life. Create a 1/1 colorless Card Knight artifact creature token.",,,,,,,assets/enchantments/burningthemidnightoil.png,
Overwhelming Responsibility,Needs Review,Enchantment ,Aura,r,{3}{G}{G},,,,"Enchant creature
Enchanted creature gets +3/+3 and has “At the beginning of each upkeep, create a 1/1 colorless Card Knight artifact creature token.”",,,,,Proxy of https://scryfall.com/card/afc/173/verdant-embrace,,assets/enchantments/overwhelmingresponsibility.png,
Ever Vigilant Creators,Needs Review,Enchantment,,r,{2}{W},,,,"Knights you control gain vigilance.
{2}{W}: Put a 1/1 colorless Card Knight artifact creature token into play.",,,,,Close Proxy of https://scryfall.com/card/c14/81/mobilization,,assets/enchantments/evervigilantcreators.png,
Whimsical Ideas,Created,Enchantment,,r,{2}{R},,,,"At the beginning of your upkeep, create a 1/1 colorless Card Knight artifact creature token with haste.
Knight creatures you control attack each turn if able.",,,,,Close Proxy of https://scryfall.com/card/mm3/95/goblin-assault,,assets/enchantments/whimsicalideas.png,
MTG - Enchantment.csv
